id,image_path,mainclass,latent_vector,cluster_label,cluster_center_distance
10,멀티스트라이프 블라우스_VOCNLXS2151.png,top,"1.5769663,1.5465927,0.0,0.0,0.0,0.0,0.0,0.65972626,0.0,0.0,0.0,0.0,1.4611979,0.0,0.5540202,0.01083082,1.8531058,0.0,0.0,0.0,0.0,0.0,2.3069217,0.0,1.2527041,1.1238782,3.4305277,0.0,0.0,0.0,2.0940986,1.1006627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114809,3.207643,0.0,0.0,2.0747805,4.435563,1.0947198,2.191281,0.0,0.4484601,0.0,0.19661534,1.618799,0.13012111,0.0,0.0,0.75636244,0.023130894,0.0,0.62355125,0.0",6,0.7309346
11,메탈 도트 블라우스.jpeg,top,"1.426939,1.9379354,0.0,0.0,0.0,0.0,0.0,1.0623665,0.0,0.0,0.0,0.0,1.1636432,0.0,0.8214295,0.0,1.7013652,0.0,0.0,0.1517697,0.0,0.0,2.2413516,0.0,1.4556223,0.71037644,3.960031,0.0,0.0,0.0,2.0550969,1.3617601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6850855,2.9943404,0.0,0.0,2.2523756,4.42339,1.0983961,2.4648783,0.0,0.46669316,0.0,0.24938053,1.9244506,0.72025853,0.0,0.0,0.70943797,0.0,0.0,0.345361,0.0",3,0.70400375
12,메탈 모크넥 니트_M3F1KT2041.jpg,top,"1.2267594,1.4242799,0.0,0.0,0.040780067,0.0,0.0,0.4140042,0.0,0.0,0.0,0.0,1.9984474,0.0,0.9261399,0.73194164,2.0608964,0.0,0.0,0.010953188,0.0,0.0,2.2854226,0.0,1.3955083,0.9901438,4.059288,0.0,0.0,0.0,2.136069,1.5561973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2858481,3.482845,0.0,0.0,2.4667192,4.6727653,1.1403954,2.7414474,0.0,0.64175606,0.0,0.14219266,1.7713932,0.33809793,0.0,0.0,0.77858627,0.0,0.0,0.46753383,0.0",0,1.053012
13,멜리안 울 홀가먼트 니트.jpg,top,"1.329407,1.2163911,0.0,0.0,0.22658253,0.0,0.0,0.5448761,0.0,0.0,0.0,0.0,1.5576512,0.0,1.219917,0.0,1.3885517,0.0,0.0,0.0,0.0,0.0,1.9742346,0.34617168,1.5370073,0.886183,4.137678,0.0,0.0,0.0,1.8630573,2.0290759,0.047879934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2918808,3.35194,0.0,0.0,2.1875966,4.0474224,0.8375087,2.4602518,0.0,0.021690369,0.0,0.33740473,1.374816,0.12583387,0.0,0.0,0.7410126,0.2732005,0.0,0.53584874,0.0",1,1.0567598
14,멜팅 도넛 맨투맨 _ 블랙.jpg,top,"1.9388252,1.8616092,0.0,0.0,0.0,0.0,0.0,0.7816039,0.0,0.0,0.0,0.0,1.7047535,0.0,0.2825929,0.090271264,1.2747178,0.0,0.0,0.3948933,0.0,0.0,1.9767826,0.036633253,1.4451056,1.037847,3.6555653,0.0,0.0,0.0,2.3433313,1.6431837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8772221,3.3496697,0.0,0.0,2.1669335,4.436617,0.8824147,2.3394961,0.0,0.71415305,0.0,0.0,1.8157833,0.6871195,0.0,0.0,0.74576175,0.0,0.0,0.0906055,0.0",8,0.94023687
15,모던 글로시 슬리브리스 [NAVY] _ S22D04010.jpg,top,"1.4378047,1.8200613,0.0,0.0,0.26500714,0.0,0.0,0.6794679,0.0,0.0,0.0,0.0,1.2435384,0.0,0.5324446,0.0060144067,1.8449354,0.0,0.0,0.0,0.0,0.0,2.4679108,0.0,1.4181552,0.738789,3.7244344,0.0,0.0,0.0,1.9025156,1.6209307,0.0,0.0,0.0,0.0,0.0024434924,0.0,0.0,0.0,0.0,0.0,0.0,2.1214316,3.2047143,0.0,0.0,2.347241,4.295951,0.9258627,2.2494197,0.0,0.41656542,0.0,0.12465632,1.8998325,0.63868845,0.0,0.0,0.62996626,0.01699765,0.0,0.70881534,0.0",6,0.80996597
16,모던와이드커프스블라우스.jpg,top,"1.3485475,2.2970207,0.0,0.0,0.07903525,0.0,0.0,0.68555146,0.0,0.06522167,0.0,0.0,1.0654341,0.0,0.61297715,0.0,0.9651011,0.0,0.0,0.0,0.0,0.0,1.4069003,0.40082186,0.89376557,1.0792149,3.8976665,0.0,0.0,0.056577384,2.1187344,1.713369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5642676,3.569953,0.0,0.0,1.8818269,4.535122,1.423275,2.564876,0.0,0.26904225,0.0,0.07070863,1.9487609,0.124154925,0.0,0.0,1.2171369,0.20848314,0.0,0.8310431,0.0",2,1.3834443
17,목걸이 브이오픈넥 민소매 니트.jpg,top,"1.2328987,1.5091233,0.0,0.0,0.0012004077,0.0,0.0,0.6303426,0.0,0.0,0.0,0.0,1.2830743,0.0,1.1556901,0.0,1.839434,0.0,0.0,0.23124248,0.0,0.0,2.2049642,0.0,1.5762807,1.0625426,3.8039513,0.0,0.0,0.0,1.9309604,1.5724888,0.0,0.0,0.0,0.0,0.06170235,0.0,0.0,0.0,0.0,0.0,0.0,2.4907658,3.306901,0.0,0.0,2.154561,4.522296,1.0455021,2.403619,0.0,0.24660468,0.0,0.17162704,1.6799507,0.2557432,0.0,0.0,1.1364094,0.0,0.0,0.5627543,0.0",4,0.7039732
18,집업 니트 가디건.jpeg,top,"1.515271,1.8648341,0.0,0.0,0.06837693,0.0,0.0,0.69353956,0.0,0.0,0.0,0.0,1.4676437,0.0,0.77125,0.04679525,1.6277881,0.0,0.0,0.07301366,0.0,0.0,2.1335719,0.0,1.5767208,0.68987924,3.7905245,0.0,0.0,0.0,1.9845024,1.4259832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8648729,3.1352959,0.0,0.0,2.2633042,4.484273,1.2920029,2.6293154,0.0,0.41343522,0.0,0.1275875,1.6451628,0.63882685,0.0,0.0,0.77479017,0.00467138,0.0,0.49938142,0.0",3,0.48253924
19,체크 아우터형 블라우스_VVCNLXS2261.blob,top,"1.501672,1.7876079,0.0,0.0,0.31343752,0.0,0.0,0.702168,0.0,0.0,0.0,0.0,1.5021746,0.0,0.73920465,0.0,1.6823325,0.0,0.0,0.03641069,0.0,0.0,2.455886,0.0,1.3468704,1.0991687,3.707716,0.0,0.0,0.0,1.978623,1.3613622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1184094,3.3589804,0.0,0.0,2.2605433,4.3529825,0.7541572,2.3397198,0.0,0.28856182,0.0,0.16492903,1.7689092,0.2664845,0.0,0.0,0.60987926,0.08770724,0.0,0.5550506,0.0",6,0.5837112
20,체크 아우터형 블라우스_VVCNLXS2261.png,top,"1.501672,1.7876079,0.0,0.0,0.31343752,0.0,0.0,0.702168,0.0,0.0,0.0,0.0,1.5021746,0.0,0.73920465,0.0,1.6823325,0.0,0.0,0.03641069,0.0,0.0,2.455886,0.0,1.3468704,1.0991687,3.707716,0.0,0.0,0.0,1.978623,1.3613622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1184094,3.3589804,0.0,0.0,2.2605433,4.3529825,0.7541572,2.3397198,0.0,0.28856182,0.0,0.16492903,1.7689092,0.2664845,0.0,0.0,0.60987926,0.08770724,0.0,0.5550506,0.0",6,0.5837112
21,체크 패턴 아우터형 후드셔츠_1H61533.jpg,top,"1.4237188,1.8966582,0.0,0.0,0.2666924,0.0,0.0,0.8913703,0.0,0.0,0.0,0.0,1.2531111,0.0,0.96384,0.0,1.7256823,0.0,0.0,0.1195631,0.0,0.0,2.545583,0.0,1.2470783,0.80146754,3.8139172,0.0,0.0,0.0,1.9988205,1.60859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9861081,3.0176363,0.0,0.0,2.0362668,4.605274,1.2189876,2.6352472,0.0,0.2936244,0.0,0.00033569336,1.9348578,0.86279476,0.0,0.0,0.7635958,0.12230742,0.0,0.6476102,0.0",3,0.8124085
22,체크 후드 셔츠 LCWSM226_PK.jpg,top,"1.3422035,1.4283758,0.0,0.0,0.18089542,0.0,0.0,0.6721275,0.0,0.0,0.0,0.0,1.2331924,0.0,1.0172336,0.30043578,1.2868693,0.0,0.0,0.12987041,0.0,0.0,2.2679963,0.0,1.4392948,1.2515557,3.7011006,0.0,0.0,0.0,2.1093595,1.6390058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0384207,2.9251068,0.0,0.0,1.9192557,4.1475353,1.042139,2.6309433,0.0,0.09343314,0.0,0.11929953,1.895678,0.7610983,0.0,0.0,0.7134,0.17596245,0.0,0.7043345,0.0",1,1.0369366
23,카라 롱 슬리브 니트 [민트].jpg,top,"1.4280821,1.8622878,0.0,0.0,0.0,0.0,0.0,0.6803471,0.0,0.0,0.0,0.0,1.3432667,0.0,0.7883955,0.0,1.8072355,0.0,0.0,0.35798597,0.0,0.0,1.9954606,0.13496071,1.3925668,0.6900234,3.8662767,0.0,0.0,0.0,2.1204972,1.6017613,0.0,0.0,0.0,0.0,0.1264152,0.0,0.0,0.0,0.0,0.0,0.0,1.9999969,3.1718192,0.0,0.0,2.2525363,4.5245547,1.0881236,1.8957591,0.0,0.14122653,0.0,0.0,1.3621992,0.49682352,0.0,0.0,1.0800736,0.0,0.0,0.6304474,0.0",6,0.91860247
24,카라 장식 셔링 니트 조끼 베스트_3color_JEFVT018M.jpg,top,"1.3502584,2.2697067,0.0,0.0,0.0,0.0,0.0,0.59736377,0.0,0.0,0.0,0.0,1.2129897,0.0,1.2072003,0.0,1.6480501,0.0,0.0,0.0,0.0,0.0,2.0793867,0.0,1.4509535,0.8852323,4.094816,0.0,0.0,0.0,1.7775137,1.6240449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0369563,3.0571074,0.0,0.0,2.2321174,4.6100893,0.73845243,2.8050213,0.0,0.66595554,0.0,0.042853832,1.8770024,0.7016165,0.0,0.0,0.84160113,0.0,0.0,0.6995928,0.0",2,0.8086054
25,카라 트위드 베스트.jpg,top,"1.5295348,1.588002,0.0,0.0,0.049315393,0.0,0.0,0.44500303,0.0,0.0,0.0,0.0,2.1944613,0.0,0.8887319,0.5427858,1.3664757,0.0,0.0,0.0,0.0,0.0,2.2423706,0.0,1.0493323,0.90223646,3.6794934,0.0,0.0,0.0,1.8729107,1.260628,0.0,0.0,0.0,0.0,0.10354924,0.0,0.0,0.0,0.0,0.0,0.0,1.9618047,3.453861,0.0,0.0,2.468262,3.9396396,0.7442121,2.2803338,0.0,0.4058237,0.0,0.0,1.4954437,0.6158159,0.0,0.0,0.51187813,0.038375624,0.0,0.1337589,0.0",6,1.2661496
26,카시나 가디건 _ CASINA CARDIGAN_4colors.jpeg,top,"1.5510677,1.0412973,0.0,0.0,0.5210681,0.0,0.0,0.6017858,0.0,0.0,0.0,0.0,1.4812787,0.0,1.1519179,0.66279167,1.4976465,0.0,0.0,0.17672896,0.0,0.0,2.4529986,0.5907849,1.5784972,0.7840904,3.9449093,0.0,0.0,0.0,2.1765962,1.6165472,0.0,0.0,0.0,0.0,0.08686549,0.0,0.0,0.0,0.0,0.0,0.0,2.0091054,3.046133,0.0,0.0,2.2262764,3.85643,0.8577322,2.1876156,0.0,0.5459719,0.0,0.010648787,1.6773669,0.96367097,0.0,0.0,0.89520645,0.0,0.0,0.3659687,0.0",1,1.1554073
27,카우패턴 라운드넥 블라우스.jpeg,top,"2.0674577,1.6255827,0.0,0.0,0.38412416,0.0,0.0,1.4626245,0.0,0.0,0.0,0.0,1.4584535,0.0,0.72975636,0.0,1.1981175,0.0,0.0,0.51790744,0.0,0.0,1.4102106,0.46310547,0.7722025,0.9578713,3.8294263,0.0,0.0,0.0,2.3634553,2.431634,0.0,0.0,0.0,0.0,0.117896006,0.0,0.0,0.0,0.0,0.0,0.0,1.8568388,3.8385015,0.0,0.0,2.0906239,3.5062423,0.8566271,2.4623427,0.0,0.0,0.0,0.0,1.9311086,0.0,0.0,0.0,0.669286,0.029244214,0.0,0.0,0.0",14,0.0
28,카폼프 금장깃털가디건.jpg,top,"1.7780721,2.0819921,0.0,0.0,0.0,0.0,0.0,1.4436691,0.0,0.0,0.0,0.0,2.1128347,0.0,0.7641208,0.0,1.3941022,0.0,0.0,0.0,0.0,0.0,1.9960353,0.0,1.2189049,0.4527952,3.933362,0.0,0.0,0.0,2.4305916,1.6516958,0.0,0.0,0.0,0.0,0.13076317,0.0,0.0,0.0,0.0,0.0,0.0,1.7896328,3.2365632,0.0,0.0,2.2899818,4.747834,1.0289929,2.4514065,0.0,0.42995334,0.0,0.35349697,2.1254816,0.27534842,0.0,0.0,0.7690649,0.11146271,0.0,0.0,0.0",8,1.0896771
29,캐릭터 라인자수 맨투맨.jpg,top,"1.7247003,1.7805861,0.0,0.0,0.073648185,0.0,0.0,0.97213304,0.0,0.0,0.0,0.0,1.6001539,0.0,0.9850477,0.19796795,1.9364865,0.0,0.0,0.35748744,0.0,0.0,2.2235353,0.0,1.3958673,0.95069134,3.809902,0.0,0.0,0.0,2.3577087,1.5792446,0.0,0.0,0.0,0.0,0.23656288,0.0,0.0,0.0,0.0,0.0,0.0,1.9251907,3.3101985,0.0,0.0,1.8743451,4.4360285,1.0594594,2.5041351,0.0,0.5134406,0.0,0.30350757,1.6502576,0.4797476,0.0,0.0,0.5969515,0.0,0.0,0.4185109,0.0",3,0.7879361
30,캐시미어 블랙 카라 가디건.jpg,top,"1.5633397,1.6966335,0.0,0.0,0.01680708,0.0,0.0,0.89784384,0.0,0.0,0.0,0.0,1.5421768,0.0,0.8405701,0.0,1.865721,0.0,0.0,0.3077619,0.0,0.0,2.3002095,0.005904317,1.5780486,0.78866774,3.849074,0.0,0.0,0.0,2.0541856,1.2549093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9711838,3.221609,0.0,0.0,2.2420368,4.728987,1.3374106,2.7649474,0.0,0.5160682,0.0,0.2086345,1.793334,0.6640506,0.0,0.0,0.87168455,0.0,0.0,0.5788264,0.0",3,0.52306986
31,캐시미어 혼방 골지 롱가디건 (44~88).jpg,top,"1.450737,1.8744265,0.0,0.0,0.02590552,0.0,0.0,0.7692361,0.0,0.0,0.0,0.0,1.5101172,0.0,0.74458843,0.009397864,1.520651,0.0,0.0,0.16681701,0.0,0.0,2.2695541,0.0,1.54355,0.946655,3.931139,0.0,0.0,0.0,1.8675082,1.3168405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8267317,3.3266687,0.0,0.0,2.4336524,4.70625,1.0236169,2.4246712,0.0,0.382648,0.0,0.0,1.6453956,0.69027907,0.0,0.0,0.90368795,0.06736554,0.0,0.72024393,0.0",3,0.7580215
32,캐주얼 롱 후드_VVCALYS1271.jpeg,top,"1.3708317,1.2575657,0.0,0.0,0.12887678,0.0,0.0,1.3041868,0.0,0.0,0.0,0.0,1.3503277,0.0,0.64741546,0.44027483,2.1810117,0.0,0.0,0.24305236,0.0,0.0,2.6016326,0.17839348,1.2878802,0.30652887,3.4292297,0.0,0.0,0.05207199,2.4096253,1.7011724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9733148,3.2344937,0.0,0.0,2.2869139,4.2497287,0.9296216,2.2031343,0.0,0.0,0.0,0.0,1.628075,0.24402845,0.0,0.0,0.43556213,0.0,0.0,0.0,0.0",0,1.4819425
33,캣츠자수맨투맨티셔츠_S3ATS001C.jpg,top,"1.3426107,1.8980008,0.0,0.0,0.0,0.0,0.0,0.4535228,0.0,0.0,0.0,0.0,1.7047075,0.0,1.0444055,0.12852138,1.9975448,0.0,0.0,0.043661475,0.0,0.0,2.2899873,0.0,1.2524945,0.9190737,3.8846426,0.0,0.0,0.0,1.7507582,1.4761428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2566435,3.284789,0.0,0.0,2.3727224,4.86829,1.1654428,2.7766314,0.0,0.5658114,0.0,0.0,1.5363431,0.40756935,0.0,0.0,1.4001172,0.20422356,0.0,0.5688249,0.0",4,0.9503606
34,컴비네이션 스트링탑 그린.jpg,top,"1.2497407,1.6215844,0.0,0.0,0.0,0.0,0.0,0.7123009,0.0,0.0,0.0,0.0,1.4799234,0.0,0.8180773,0.0,1.9931302,0.0,0.0,0.0,0.0,0.0,2.2270162,0.0,1.9575858,0.8124888,3.9376311,0.0,0.0,0.0,2.0602105,1.4460957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2206035,2.9558372,0.0,0.0,2.0671258,4.470561,1.0601848,2.611577,0.0,0.5828397,0.0,0.13563961,1.7167627,0.41630775,0.0,0.0,0.692016,0.0,0.0,0.59368443,0.0",4,0.72522
35,컴비네이션 스트링탑 화이트.jpg,top,"1.600222,2.0117726,0.0,0.0,0.0,0.0,0.0,0.36343634,0.0,0.0,0.0,0.0,1.3007766,0.0,0.8084546,0.058165252,1.4590658,0.0,0.0,0.32313108,0.0,0.0,2.2811217,0.069698215,1.2910105,0.86082226,4.3881674,0.0,0.0,0.0,1.6368029,1.1983705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064594,2.7149425,0.0,0.0,2.3168557,4.2044196,0.8191055,2.455945,0.0,0.017102003,0.0,0.0,1.8170432,0.3304305,0.0,0.0,1.0089719,0.32114345,0.0,0.7488797,0.0",2,1.1368005
36,컷아웃 스트라이프 니트.jpg,top,"2.2140963,1.6406571,0.33859956,0.0,1.2387059,0.0,0.0,0.0,0.0,0.091035604,0.0,0.0,0.5417409,0.0,1.6398467,0.28501725,1.2370906,0.0,0.0,0.0,0.0,0.0,2.0357175,0.0,1.2376611,1.0530806,3.7456622,0.0,0.0,0.16389954,1.6838113,0.29135495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1470473,1.7821171,0.0,0.0,2.828134,4.6637855,0.98675764,2.0029025,0.0,1.051467,0.0,0.4950254,0.7788689,1.3554155,0.0,0.0,1.2586389,1.6562678,0.0,1.7893896,0.0",5,5.9604645e-08
37,케리 볼레로 가디건 세트.jpg,top,"1.5071048,1.9437068,0.0,0.0,0.0,0.0,0.0,0.74181867,0.0,0.0,0.0,0.0,1.1508036,0.0,0.98858905,0.11778146,2.1178994,0.0,0.0,0.17286897,0.0,0.0,2.446342,0.0,1.692429,0.7861364,4.1607256,0.0,0.0,0.0,1.6998798,1.3917804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.405796,3.1489868,0.0,0.0,2.4807935,4.5709395,0.7868589,2.609958,0.0,0.64893556,0.0,0.0,1.3615413,0.529347,0.0,0.0,0.89074206,0.017995566,0.0,0.7934083,0.0",4,0.8234824
38,케이블 포인트 니트 풀오버_Olive B2WAK678_44.jpg,top,"1.7800851,1.539332,0.0,0.0,0.08139095,0.0,0.0,0.7389078,0.0,0.0,0.0,0.0,1.640693,0.0,0.77437466,0.3581338,2.1167073,0.0,0.0,0.08203089,0.0,0.0,2.456656,0.0,1.2388791,0.72960854,3.707256,0.0,0.0,0.0,2.3887324,1.5040427,0.0,0.0,0.0,0.0,0.010668114,0.0,0.0,0.0,0.0,0.0,0.0,1.9329088,2.9712071,0.0,0.0,2.003019,4.3241754,1.157358,2.300278,0.0,0.1659286,0.0,0.022567242,1.6024431,0.29347748,0.0,0.0,0.82753456,0.0,0.0,0.6204238,0.0",6,0.92580676
39,켄지 캐시앙고라 니트 3종.jpg,top,"1.5887419,1.8938882,0.0,0.0,0.23601648,0.0,0.0,1.3558207,0.0,0.0,0.0,0.0,1.4925555,0.0,0.90331423,0.04378736,1.9104868,0.0,0.0,0.39478528,0.0,0.0,2.778294,0.0,1.7256074,0.7850131,3.8822894,0.0,0.0,0.068389,1.9031843,1.4363037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9636581,3.2308455,0.0,0.0,2.0039601,4.5381346,1.0769639,2.75595,0.0,0.8926656,0.0,0.65782225,1.5798533,0.44902948,0.0,0.0,0.7876078,0.17625429,0.0,0.45427608,0.0",3,1.1069016
